player_id,display_name,player_name,surname,forename,player_dob,dob_display,comp_rec_pos,soccerbase_pos,tm_pos_1,tm_pos_2,tm_pos_3,position
CurtisCharlie,"Curtis, Charlie",Charlie Curtis,Curtis,Charlie,,Unknown,Wing Half,,,,,Wing Half
CurtisTom19730301,"Curtis, Tom",Tom Curtis,Curtis,Tom,1973-03-01,,,Midfielder,Central Midfield,,,Central Midfield
DArcyFrank19461208,"D'Arcy, Frank",Frank D'Arcy,D'Arcy,Frank,1946-12-08,,Fullback,,,,,Fullback
DacresCogleyJosh19960312,"Dacres-Cogley, Josh",Josh Dacres-Cogley,Dacres-Cogley,Josh,1996-03-12,,,Defender,Right-Back,,,Right-Back
DadiEugene19730820,"Dadi, Eugene",Eugene Dadi,Dadi,Eugene,1973-08-20,,,Forward,Centre-Forward,,,Centre-Forward
DagnallChris19860415,"Dagnall, Chris",Chris Dagnall,Dagnall,Chris,1986-04-15,,,Forward,Centre-Forward,Second Striker,,Centre-Forward
DaleDickie18960521,"Dale, Dickie",Dickie Dale,Dale,Dickie,1896-05-21,,Center Half,,,,,Center Half
DaltonTim19651014,"Dalton, Tim",Tim Dalton,Dalton,Tim,1965-10-14,,Goalkeeper,,,,,Goalkeeper
DanielsDonervon19931124,"Daniels, Donervon",Donervon Daniels,Daniels,Donervon,1993-11-24,,,Defender,Centre-Back,Right-Back,,Centre-Back
DanielsLuke19880105,"Daniels, Luke",Luke Daniels,Daniels,Luke,1988-01-05,,,Goalkeeper,Goalkeeper,,,Goalkeeper
DannsNeil19821123,"Danns, Neil",Neil Danns,Danns,Neil,1982-11-23,,,Midfielder,Central Midfield,Left Midfield,Right Midfield,Central Midfield
DarvilleLiam19901026,"Darville, Liam",Liam Darville,Darville,Liam,1990-10-26,,,Defender,Right-Back,,,Right-Back
DaviesBen19950811,"Davies, Ben",Ben Davies,Davies,Ben,1995-08-11,,,Defender,Centre-Back,Left-Back,,Centre-Back
DaviesDai19480401,"Davies, Dai",Dai Davies,Davies,Dai,1948-04-01,,Goalkeeper,,,,,Goalkeeper
DaviesErnie19160131,"Davies, Ernie",Ernie Davies,Davies,Ernie,1916-01-31,,Right Half,,,,,Right Half
DaviesKeith19340219,"Davies, Keith",Keith Davies,Davies,Keith,1934-02-19,,Inside Forward,,,,,Inside Forward
DaviesMikey20040923,"Davies, Mikey",Mikey Davies,Davies,Mikey,2004-09-23,,,Defender,Left-Back,,,Left-Back
DaviesRay19311003,"Davies, Ray",Ray Davies,Davies,Ray,1931-10-03,,Inside Forward,,,,,Inside Forward
DaviesScott19870223,"Davies, Scott",Scott Davies,Davies,Scott,1987-02-23,,,Goalkeeper,Goalkeeper,,,Goalkeeper
DaviesSteve19871229,"Davies, Steve",Steve Davies,Davies,Steve,1987-12-29,,,Forward,Centre-Forward,Left Winger,Right Winger,Centre-Forward
DaviesTom19920418,"Davies, Tom",Tom Davies,Davies,Tom,1992-04-18,,,Defender,Centre-Back,,,Centre-Back
DavisSamuel19000525,"Davis, Samuel",Samuel Davis,Davis,Samuel,1900-05-25,,Right Back,,,,,Right Back
DavisThomas1911,"Davis, Thomas",Thomas Davis,Davis,Thomas,,~1911,Inside Right,,,,,Inside Right
DavisonJosh19990916,"Davison, Josh",Josh Davison,Davison,Josh,1999-09-16,,,Forward,Centre-Forward,,,Centre-Forward
DawsonAdam19921005,"Dawson, Adam",Adam Dawson,Dawson,Adam,1992-10-05,,,Midfielder,Right Winger,Left Winger,,Right Winger
DawsonFrank19081017,"Dawson, Frank",Frank Dawson,Dawson,Frank,1908-10-17,,Left Back,,,,,Left Back
DayAlf19071002,"Day, Alf",Alf Day,Day,Alf,1907-10-02,,Right Half,,,,,Right Half
DeanDixie19070122,"Dean, Dixie",Dixie Dean,Dean,Dixie,1907-01-22,,Center Forward,,,,,Center Forward
DellowRonnie19140713,"Dellow, Ronnie",Ronnie Dellow,Dellow,Ronnie,1914-07-13,,Outside Right,,Right Winger,,,Outside Right
DemaineDave19420507,"Demaine, Dave",Dave Demaine,Demaine,Dave,1942-05-07,,Winger,,,,,Winger
DempseyJohn19510402,"Dempsey, John",John Dempsey,Dempsey,John,1951-04-02,,Fullback,,,,,Fullback
DennisKristian19900312,"Dennis, Kristian",Kristian Dennis,Dennis,Kristian,1990-03-12,,,Forward,Centre-Forward,,,Centre-Forward
DevaneyMartin19800601,"Devaney, Martin",Martin Devaney,Devaney,Martin,1980-06-01,,,Midfielder,Right Midfield,Left Midfield,,Right Midfield
DevineJames19990726,"Devine, James",James Devine,Devine,James,1999-07-26,,,Midfielder,Central Midfield,Defensive Midfield,,Central Midfield
DieseruvweEmmanuel19950220,"Dieseruvwe, Emmanuel",Emmanuel Dieseruvwe,Dieseruvwe,Emmanuel,1995-02-20,,,Forward,Centre-Forward,,,Centre-Forward
DillonVince19231002,"Dillon, Vince",Vince Dillon,Dillon,Vince,1923-10-02,,Center Forward,,,,,Center Forward
DixonErnie19010710,"Dixon, Ernie",Ernie Dixon,Dixon,Ernie,1901-07-10,,Center Forward,,,,,Center Forward
DockingStan19141213,"Docking, Stan",Stan Docking,Docking,Stan,1914-12-13,,Inside Left,,,,,Inside Left
DoddErnie19140501,"Dodd, Ernie",Ernie Dodd,Dodd,Ernie,1914-05-01,,Right Back,,,,,Right Back
DoddJim19331212,"Dodd, Jim",Jim Dodd,Dodd,Jim,1933-12-12,,Center Forward,,,,,Center Forward
DonacienJanoi19931103,"Donacien, Janoi",Janoi Donacien,Donacien,Janoi,1993-11-03,,,Defender,Centre-Back,Right-Back,,Centre-Back
DonaldsonRyan19910501,"Donaldson, Ryan",Ryan Donaldson,Donaldson,Ryan,1991-05-01,,,Midfielder,Right Winger,Right Midfield,Left Winger,Right Winger
DoneCyril19201021,"Done, Cyril",Cyril Done,Done,Cyril,1920-10-21,,Center Forward,,,,,Center Forward
DonnellyGeorge19880528,"Donnelly, George",George Donnelly,Donnelly,George,1988-05-28,,,Forward,Centre-Forward,,,Centre-Forward
DonnellyRory19920218,"Donnelly, Rory",Rory Donnelly,Donnelly,Rory,1992-02-18,,,Forward,Centre-Forward,Right Winger,Left Winger,Centre-Forward
DoohanRoss19980329,"Doohan, Ross",Ross Doohan,Doohan,Ross,1998-03-29,,,Goalkeeper,Goalkeeper,,,Goalkeeper
DoonanTom19221005,"Doonan, Tom",Tom Doonan,Doonan,Tom,1922-10-05,,Center Forward,,,,,Center Forward
DrysdaleDeclan19991114,"Drysdale, Declan",Declan Drysdale,Drysdale,Declan,1999-11-14,,,Defender,Centre-Back,Defensive Midfield,,Centre-Back
DuffStanley11919,"Duff, Stanley",Stanley Duff,Duff,Stanley,,Q1 1919,Outside Left,,,,,Outside Left
DuffyAlan19491220,"Duffy, Alan",Alan Duffy,Duffy,Alan,1949-12-20,,Inside Forward,,,,,Inside Forward
DuffyMark19851007,"Duffy, Mark",Mark Duffy,Duffy,Mark,1985-10-07,,,Midfielder,Central Midfield,Attacking Midfield,Right Midfield,Central Midfield
DugdaleAdam19870912,"Dugdale, Adam",Adam Dugdale,Dugdale,Adam,1987-09-12,,,Defender,Centre-Back,Defensive Midfield,,Centre-Back
DugganMitch19970320,"Duggan, Mitch",Mitch Duggan,Duggan,Mitch,1997-03-20,,,Defender,Centre-Back,Right-Back,Defensive Midfield,Centre-Back
DunnJack19941119,"Dunn, Jack",Jack Dunn,Dunn,Jack,1994-11-19,,,Midfielder,Second Striker,Left Winger,Right Winger,Second Striker
DysonBarry19420906,"Dyson, Barry",Barry Dyson,Dyson,Barry,1942-09-06,,Inside Forward,,,,,Inside Forward
EasthamHarry19170630,"Eastham, Harry",Harry Eastham,Eastham,Harry,1917-06-30,,Inside Left,,,,,Inside Left
EatonSteve19591225,"Eaton, Steve",Steve Eaton,Eaton,Steve,1959-12-25,,Defender,,,,,Defender
EcclestonNathan19901230,"Eccleston, Nathan",Nathan Eccleston,Eccleston,Nathan,1990-12-30,,,Forward,Centre-Forward,Right Winger,Left Winger,Centre-Forward
EddsGareth19810203,"Edds, Gareth",Gareth Edds,Edds,Gareth,1981-02-03,,,Midfielder,Defensive Midfield,,,Defensive Midfield
EdenBilly19050701,"Eden, Billy",Billy Eden,Eden,Billy,1905-07-01,,Outside Left,,Left Winger,,,Outside Left
EdwardsChristian19751123,"Edwards, Christian",Christian Edwards,Edwards,Christian,1975-11-23,,,Defender,Centre-Back,,,Centre-Back
EdwardsElfyn19600504,"Edwards, Elfyn",Elfyn Edwards,Edwards,Elfyn,1960-05-04,,Center Half,,,,,Center Half
EdwardsMalcolm19391025,"Edwards, Malcolm",Malcolm Edwards,Edwards,Malcolm,1939-10-25,,Left Half,,,,,Left Half
EdwardsMike19740910,"Edwards, Mike",Mike Edwards,Edwards,Mike,1974-09-10,,Midfielder,,,,,Midfielder
EdwardsRyan19931007,"Edwards, Ryan",Ryan Edwards,Edwards,Ryan,1993-10-07,,,Midfielder,Centre-Back,Right-Back,,Centre-Back
EdwardsSteve19580111,"Edwards, Steve",Steve Edwards,Edwards,Steve,1958-01-11,,Defender,,,,,Defender
EdwardsWilliam,"Edwards, William",William Edwards,Edwards,William,,Unknown,Right Half,,,,,Right Half
EglingtonTommy19230115,"Eglington, Tommy",Tommy Eglington,Eglington,Tommy,1923-01-15,,Outside Left,,,,,Outside Left
ElfordAlliyuLateef19920601,"Elford-Alliyu, Lateef",Lateef Elford-Alliyu,Elford-Alliyu,Lateef,1992-06-01,,,Forward,Centre-Forward,Left Winger,Right Winger,Centre-Forward
EllisMark19880930,"Ellis, Mark",Mark Ellis,Ellis,Mark,1988-09-30,,,Defender,Centre-Back,,,Centre-Back
EllisonKevin19790223,"Ellison, Kevin",Kevin Ellison,Ellison,Kevin,1979-02-23,,,Midfielder,Left Winger,Centre-Forward,,Left Winger
EllisonNorman19291102,"Ellison, Norman",Norman Ellison,Ellison,Norman,1929-11-02,,Outside Right,,,,,Outside Right
EndersbyScott19620220,"Endersby, Scott",Scott Endersby,Endersby,Scott,1962-02-20,,Goalkeeper,,Goalkeeper,,,Goalkeeper
EvansBernard19370104,"Evans, Bernard",Bernard Evans,Evans,Bernard,1937-01-04,,Center Forward,,,,,Center Forward
EvansClive19570501,"Evans, Clive",Clive Evans,Evans,Clive,1957-05-01,,Midfielder,,Central Midfield,,,Midfielder
EvansDennis19350723,"Evans, Dennis",Dennis Evans,Evans,Dennis,1935-07-23,,Fullback,,,,,Fullback
EvansHerbie18940830,"Evans, Herbie",Herbie Evans,Evans,Herbie,1894-08-30,,Half Back,,,,,Half Back
EvansJabez18950429,"Evans, Jabez",Jabez Evans,Evans,Jabez,1895-04-29,,Outside Left,,,,,Outside Left
FaceyDelroy19800422,"Facey, Delroy",Delroy Facey,Facey,Delroy,1980-04-22,,,Forward,Centre-Forward,,,Centre-Forward
FaganKit19500605,"Fagan, Kit",Kit Fagan,Fagan,Kit,1950-06-05,,Wing Half,,Centre-Back,,,Wing Half
FaircloughDavid19570105,"Fairclough, David",David Fairclough,Fairclough,David,1957-01-05,,Forward,,Centre-Forward,,,Forward
FaircloughPeter,"Fairclough, Peter",Peter Fairclough,Fairclough,Peter,,Unknown,Left Half,,,,,Left Half
FairhurstDick19110905,"Fairhurst, Dick",Dick Fairhurst,Fairhurst,Dick,1911-09-05,,Right Back,,,,,Right Back
FanimoMatthias19940128,"Fanimo, Matthias",Matthias Fanimo,Fanimo,Matthias,1994-01-28,,,Forward,Right Winger,Left Winger,,Right Winger
FarnworthSimon19631028,"Farnworth, Simon",Simon Farnworth,Farnworth,Simon,1963-10-28,,Goalkeeper,,,,,Goalkeeper
FarrellPeter19220816,"Farrell, Peter",Peter Farrell,Farrell,Peter,1922-08-16,,Wing Half,,,,,Wing Half
FarrimondSyd19400717,"Farrimond, Syd",Syd Farrimond,Farrimond,Syd,1940-07-17,,Left Back,,Left-Back,,,Left Back
FeeneyLiam19870121,"Feeney, Liam",Liam Feeney,Feeney,Liam,1987-01-21,,,Midfielder,Right Midfield,Left Midfield,,Right Midfield
FeeneyMorgan19990208,"Feeney, Morgan",Morgan Feeney,Feeney,Morgan,1999-02-08,,,Defender,Centre-Back,,,Centre-Back
FenelonShamir19940803,"Fenelon, Shamir",Shamir Fenelon,Fenelon,Shamir,1994-08-03,,,Forward,Centre-Forward,Right Winger,Left Winger,Centre-Forward
FenwickScott19900409,"Fenwick, Scott",Scott Fenwick,Fenwick,Scott,1990-04-09,,,Forward,Centre-Forward,,,Centre-Forward
FergusonMark19601106,"Ferguson, Mark",Mark Ferguson,Ferguson,Mark,1960-11-06,,Forward,,Centre-Forward,,,Forward
FerrierMorgan19941115,"Ferrier, Morgan",Morgan Ferrier,Ferrier,Morgan,1994-11-15,,,Forward,Left Winger,Centre-Forward,Right Winger,Left Winger
FeuerIan19710520,"Feuer, Ian",Ian Feuer,Feuer,Ian,1971-05-20,,,Goalkeeper,Goalkeeper,,,Goalkeeper
FinlayPat19380318,"Finlay, Pat",Pat Finlay,Finlay,Pat,1938-03-18,,Left Back,,,,,Left Back
FinneyKen19290310,"Finney, Ken",Ken Finney,Finney,Ken,1929-03-10,,Outside Right,,Right Winger,,,Outside Right
FishwickBert11899,"Fishwick, Bert",Bert Fishwick,Fishwick,Bert,,Q1 1899,Inside Left,,,,,Inside Left
FlanaganJack11902,"Flanagan, Jack",Jack Flanagan,Flanagan,Jack,,Q1 1902,Center Forward,,,,,Center Forward
FlemingJack19990110,"Fleming, Jack",Jack Fleming,Fleming,Jack,1999-01-10,,,Midfielder,Centre-Back,Left-Back,,Centre-Back
FlemingMike19280223,"Fleming, Mike",Mike Fleming,Fleming,Mike,1928-02-23,,Inside Forward,,,,,Inside Forward
FloodEddie19521119,"Flood, Eddie",Eddie Flood,Flood,Eddie,1952-11-19,,Fullback,,Left-Back,Centre-Back,,Fullback
FlowersGeorge19070507,"Flowers, George",George Flowers,Flowers,George,1907-05-07,,Left Half,,,,,Left Half
FlynnSean19680313,"Flynn, Sean",Sean Flynn,Flynn,Sean,1968-03-13,,,Midfielder,Central Midfield,,,Central Midfield
FoggBilly19030309,"Fogg, Billy",Billy Fogg,Fogg,Billy,1903-03-09,,Inside Right,,,,,Inside Right
FoleySam19861017,"Foley, Sam",Sam Foley,Foley,Sam,1986-10-17,,,Midfielder,Central Midfield,Left Midfield,Right Midfield,Central Midfield
FonWilliamsOwain19870317,"Fon Williams, Owain",Owain Fon Williams,Fon Williams,Owain,1987-03-17,,,Goalkeeper,Goalkeeper,,,Goalkeeper
FordJohn,"Ford, John",John Ford,Ford,John,,Unknown,Inside Right,,,,,Inside Right
ForshawAllen,"Forshaw, Allen",Allen Forshaw,Forshaw,Allen,,Unknown,Right Back,,,,,Right Back
ForshawArthur31913,"Forshaw, Arthur",Arthur Forshaw,Forshaw,Arthur,,Q3 1913,Outside Right,,,,,Outside Right
FosterStephen19800918,"Foster, Stephen",Stephen Foster,Foster,Stephen,1980-09-18,,,Defender,Centre-Back,,,Centre-Back
FosterWilliam,"Foster, William",William Foster,Foster,William,,Unknown,Center Forward,,,,,Center Forward
FrailStephen19690810,"Frail, Stephen",Stephen Frail,Frail,Stephen,1969-08-10,,,Defender,Right-Back,Defensive Midfield,Defensive Midfield,Right-Back
FrancisSimon19850216,"Francis, Simon",Simon Francis,Francis,Simon,1985-02-16,,,Defender,Right-Back,Centre-Back,,Right-Back
FraserNathan19130416,"Fraser, Nathan",Nathan Fraser,Fraser,Nathan,1913-04-16,,Center Forward,,,,,Center Forward
FraughanRyan19910211,"Fraughan, Ryan",Ryan Fraughan,Fraughan,Ryan,1991-02-11,,,Midfielder,Central Midfield,Left Midfield,,Central Midfield
FrithDavid19290317,"Frith, David",David Frith,Frith,David,1929-03-17,,Fullback,,,,,Fullback
FrostWinston21911,"Frost, Winston",Winston Frost,Frost,Winston,,Q2 1911,Goalkeeper,,,,,Goalkeeper
FryeJohn19330727,"Frye, John",John Frye,Frye,John,1933-07-27,,Inside Forward,,,,,Inside Forward
FultonDavid18951016,"Fulton, David",David Fulton,Fulton,David,1895-10-16,,Center Forward,,,,,Center Forward
GardnerDan19900405,"Gardner, Dan",Dan Gardner,Gardner,Dan,1990-04-05,,,Midfielder,Central Midfield,Right Midfield,Left Midfield,Central Midfield
GarnettShaun19691122,"Garnett, Shaun",Shaun Garnett,Garnett,Shaun,1969-11-22,,Central Defender,,Centre-Back,,,Central Defender
GaskellAlec19320730,"Gaskell, Alec",Alec Gaskell,Gaskell,Alec,1932-07-30,,Center Forward,,,,,Center Forward
GeorgeShamal19980106,"George, Shamal",Shamal George,George,Shamal,1998-01-06,,,Goalkeeper,Goalkeeper,,,Goalkeeper
GibsonBen19930115,"Gibson, Ben",Ben Gibson,Gibson,Ben,1993-01-15,,,Defender,Centre-Back,,,Centre-Back
GibsonNeil19791010,"Gibson, Neil",Neil Gibson,Gibson,Neil,1979-10-10,,,Midfielder,Central Midfield,,,Central Midfield
GibsonWilliam19260917,"Gibson, William",William Gibson,Gibson,William,1926-09-17,,Fullback,,,,,Fullback
GillFrancis11897,"Gill, Francis",Francis Gill,Gill,Francis,,Q1 1897,Goalkeeper,,,,,Goalkeeper
GillFrank19481205,"Gill, Frank",Frank Gill,Gill,Frank,1948-12-05,,Winger,,,,,Winger
GillMatt19801108,"Gill, Matt",Matt Gill,Gill,Matt,1980-11-08,,,Midfielder,Defensive Midfield,Central Midfield,,Defensive Midfield
GillWayne19751128,"Gill, Wayne",Wayne Gill,Gill,Wayne,1975-11-28,,,Midfielder,Attacking Midfielder,,,Attacking Midfielder
GilmourHarvey19981215,"Gilmour, Harvey",Harvey Gilmour,Gilmour,Harvey,1998-12-15,,,Midfielder,Central Midfield,Attacking Midfield,Left Midfield,Central Midfield
GinnellyJosh19970324,"Ginnelly, Josh",Josh Ginnelly,Ginnelly,Josh,1997-03-24,,,Forward,Left Winger,Right Winger,Centre-Forward,Left Winger
GlasperWilliam41910,"Glasper, William",William Glasper,Glasper,William,,Q4 1910,Right Half,,,,,Right Half
GlatzelPaul20010220,"Glatzel, Paul",Paul Glatzel,Glatzel,Paul,2001-02-20,,,Forward,Centre-Forward,,,Centre-Forward
GlennonChris19491029,"Glennon, Chris",Chris Glennon,Glennon,Chris,1949-10-29,,Forward,,,,,Forward
GnanduilletArmand19920213,"Gnanduillet, Armand",Armand Gnanduillet,Gnanduillet,Armand,1992-02-13,,,Forward,Centre-Forward,,,Centre-Forward
GodwinVerdi19260211,"Godwin, Verdi",Verdi Godwin,Godwin,Verdi,1926-02-11,,Center Forward,,,,,Center Forward
GolobartRoman19920321,"Golobart, Roman",Roman Golobart,Golobart,Roman,1992-03-21,,,Defender,Centre-Back,,,Centre-Back
GoodJohn19330129,"Good, John",John Good,Good,John,1933-01-29,,Outside Right,,,,,Outside Right
GoodisonIan19721121,"Goodison, Ian",Ian Goodison,Goodison,Ian,1972-11-21,,,Defender,Centre-Back,Right-Back,,Centre-Back
GoodlassRonnie19530906,"Goodlass, Ronnie",Ronnie Goodlass,Goodlass,Ronnie,1953-09-06,,Outside Left,,,,,Outside Left
GordonBen19910302,"Gordon, Ben",Ben Gordon,Gordon,Ben,1991-03-02,,,Defender,Left-Back,,,Left-Back
GornellTerry19891216,"Gornell, Terry",Terry Gornell,Gornell,Terry,1989-12-16,,,Forward,Centre-Forward,Second Striker,,Centre-Forward
GortonAndy19660923,"Gorton, Andy",Andy Gorton,Gorton,Andy,1966-09-23,,Goalkeeper,,,,,Goalkeeper
GouldHarry19250105,"Gould, Harry",Harry Gould,Gould,Harry,1925-01-05,,Inside Forward,,,,,Inside Forward
GrahamBobby19441122,"Graham, Bobby",Bobby Graham,Graham,Bobby,1944-11-22,,Forward,,,,,Forward
GraingerJohn1896,"Grainger, John",John Grainger,Grainger,John,,~1896,Right Back,,,,,Right Back
GrandisonJermaine19901205,"Grandison, Jermaine",Jermaine Grandison,Grandison,Jermaine,1990-12-05,,,Defender,Centre-Back,,,Centre-Back
GrantTony19741114,"Grant, Tony",Tony Grant,Grant,Tony,1974-11-14,,,Midfielder,Defensive Midfield,Central Midfield,,Defensive Midfield
GrayAlbert19000923,"Gray, Albert",Albert Gray,Gray,Albert,1900-09-23,,Goalkeeper,,,,,Goalkeeper
GrayKevin19720107,"Gray, Kevin",Kevin Gray,Gray,Kevin,1972-01-07,,,Defender,Centre-Back,,,Centre-Back
GrayMatthew19070418,"Gray, Matthew",Matthew Gray,Gray,Matthew,1907-04-18,,Left Half,,,,,Left Half
GrayRobert19031007,"Gray, Robert",Robert Gray,Gray,Robert,1903-10-07,,Left Half,,,,,Left Half
GreenDevarn19960826,"Green, Devarn",Devarn Green,Green,Devarn,1996-08-26,,,Forward,Right Winger,Centre-Forward,Left Winger,Right Winger
GreenGeorge19960102,"Green, George",George Green,Green,George,1996-01-02,,,Midfielder,Attacking Midfield,Left Winger,Right Winger,Attacking Midfield
GreenJohnny19390522,"Green, Johnny",Johnny Green,Green,Johnny,1939-05-22,,Inside Forward,,,,,Inside Forward
GreenacreChris19771223,"Greenacre, Chris",Chris Greenacre,Greenacre,Chris,1977-12-23,,,Forward,Centre-Forward,,,Centre-Forward
GreenwoodRoy19520926,"Greenwood, Roy",Roy Greenwood,Greenwood,Roy,1952-09-26,,Forward,,,,,Forward
GriersonDarrell19681030,"Grierson, Darrell",Darrell Grierson,Grierson,Darrell,1968-10-30,,Goalkeeper,,,,,Goalkeeper
GriffithsClive19550122,"Griffiths, Clive",Clive Griffiths,Griffiths,Clive,1955-01-22,,Central Defender,,,,,Central Defender
GriffithsDavid19510525,"Griffiths, David",David Griffiths,Griffiths,David,1951-05-25,,Fullback,,,,,Fullback
GriffithsIan19600417,"Griffiths, Ian",Ian Griffiths,Griffiths,Ian,1960-04-17,,Outside Left,,Left Midfield,,,Outside Left
GriffithsJames1918,"Griffiths, James",James Griffiths,Griffiths,James,,~1918,Outside Left,,,,,Outside Left
GriffithsJoe1892,"Griffiths, Joe",Joe Griffiths,Griffiths,Joe,,~1892,Outside Left,,,,,Outside Left
GrovesFred18920506,"Groves, Fred",Fred Groves,Groves,Fred,1892-05-06,,Inside Right,,,,,Inside Right
GubbinsRalph19320131,"Gubbins, Ralph",Ralph Gubbins,Gubbins,Ralph,1932-01-31,,Inside Forward,,Centre-Forward,,,Inside Forward
GulacsiPeter19900506,"Gulacsi, Peter",Peter Gulacsi,Gulacsi,Peter,1990-05-06,,,Goalkeeper,Goalkeeper,,,Goalkeeper
GumbsEvan19970721,"Gumbs, Evan",Evan Gumbs,Gumbs,Evan,1997-07-21,,,Defender,Centre-Back,,,Centre-Back
GunningGavin19910126,"Gunning, Gavin",Gavin Gunning,Gunning,Gavin,1991-01-26,,,Defender,Centre-Back,Left-Back,Defensive Midfield,Centre-Back
GwatkinPhil19290805,"Gwatkin, Phil",Phil Gwatkin,Gwatkin,Phil,1929-08-05,,Outside Right,,,,,Outside Right
HaganAlf18931111,"Hagan, Alf",Alf Hagan,Hagan,Alf,1893-11-11,,Inside Forward,,,,,Inside Forward
HallPaul19720703,"Hall, Paul",Paul Hall,Hall,Paul,1972-07-03,,,Midfielder,Centre-Forward,Right Winger,,Centre-Forward
HallTony19690117,"Hall, Tony",Tony Hall,Hall,Tony,1969-01-17,,Defender,,,,,Defender
HalsteadFred41896,"Halstead, Fred",Fred Halstead,Halstead,Fred,,Q4 1896,Center Half,,,,,Center Half
HamiltonBryan19461221,"Hamilton, Bryan",Bryan Hamilton,Hamilton,Bryan,1946-12-21,,Midfielder,,,,,Midfielder
HamiltonDes19760815,"Hamilton, Des",Des Hamilton,Hamilton,Des,1976-08-15,,,Midfielder,Right Midfield,Central Midfield,,Right Midfield
HamiltonDuke19060327,"Hamilton, Duke",Duke Hamilton,Hamilton,Duke,1906-03-27,,Right Back,,,,,Right Back
HarlockDes19221220,"Harlock, Des",Des Harlock,Harlock,Des,1922-12-20,,Outside Right,,,,,Outside Right
HarrisAlbert19311121,"Harris, Albert",Albert Harris,Harris,Albert,1931-11-21,,Goalkeeper,,,,,Goalkeeper
HarrisJay19870415,"Harris, Jay",Jay Harris,Harris,Jay,1987-04-15,,,Midfielder,Central Midfield,Attacking Midfield,Defensive Midfield,Central Midfield
HarrisJimmy19330818,"Harris, Jimmy",Jimmy Harris,Harris,Jimmy,1933-08-18,,Center Forward,,,,,Center Forward
HarrisonDanny19821104,"Harrison, Danny",Danny Harrison,Harrison,Danny,1982-11-04,,,Midfielder,Central Midfield,Defensive Midfield,Centre-Back,Central Midfield
HarropBobby19360825,"Harrop, Bobby",Bobby Harrop,Harrop,Bobby,1936-08-25,,Wing Half,,,,,Wing Half
HartJoe19870419,"Hart, Joe",Joe Hart,Hart,Joe,1987-04-19,,,Goalkeeper,Goalkeeper,,,Goalkeeper
HarveyJimmy19580502,"Harvey, Jimmy",Jimmy Harvey,Harvey,Jimmy,1958-05-02,,Midfielder,,Central Midfield,,,Midfielder
HateleyTom19890912,"Hateley, Tom",Tom Hateley,Hateley,Tom,1989-09-12,,,Midfielder,Defensive Midfield,Right-Back,Central Midfield,Defensive Midfield
HawardenAndrew18950630,"Hawarden, Andrew",Andrew Hawarden,Hawarden,Andrew,1895-06-30,,Left Half,,,,,Left Half
HawkesJosh19990128,"Hawkes, Josh",Josh Hawkes,Hawkes,Josh,1999-01-28,,,Midfielder,Left Midfield,Central Midfield,Attacking Midfield,Left Midfield
HaworthSimon19770330,"Haworth, Simon",Simon Haworth,Haworth,Simon,1977-03-30,,,Forward,Centre-Forward,,,Centre-Forward
HayAlan19581128,"Hay, Alan",Alan Hay,Hay,Alan,1958-11-28,,Left Back,,,,,Left Back
HayAlex19811014,"Hay, Alex",Alex Hay,Hay,Alex,1981-10-14,,,Forward,Centre-Forward,Right Winger,,Centre-Forward
HaydeKyle20010925,"Hayde, Kyle",Kyle Hayde,Hayde,Kyle,2001-09-25,,,Defender,Right-Back,Left-Back,,Right-Back
HayesCharlie18931207,"Hayes, Charlie",Charlie Hayes,Hayes,Charlie,1893-12-07,,Right Back,,,,,Right Back
HayesFred,"Hayes, Fred",Fred Hayes,Hayes,Fred,,Unknown,Inside Left,,,,,Inside Left
HayesJohn,"Hayes, John",John Hayes,Hayes,John,,Unknown,Inside Forward,,,,,Inside Forward
HazellReuben19790424,"Hazell, Reuben",Reuben Hazell,Hazell,Reuben,1979-04-24,,,Defender,Centre-Back,Right-Back,,Centre-Back
HeapStuart19650207,"Heap, Stuart",Stuart Heap,Heap,Stuart,1965-02-07,,Forward,,,,,Forward
HeathJohn19360605,"Heath, John",John Heath,Heath,John,1936-06-05,,Goalkeeper,,,,,Goalkeeper
HeathSeamus19611206,"Heath, Seamus",Seamus Heath,Heath,Seamus,1961-12-06,,Midfielder,,,,,Midfielder
HemmingsKane19910408,"Hemmings, Kane",Kane Hemmings,Hemmings,Kane,1991-04-08,,,Forward,Centre-Forward,Left Winger,Right Winger,Centre-Forward
HendryRegan19980121,"Hendry, Regan",Regan Hendry,Hendry,Regan,1998-01-21,,,Midfielder,Central Midfield,Defensive Midfield,Attacking Midfield,Central Midfield
HenryNick19690221,"Henry, Nick",Nick Henry,Henry,Nick,1969-02-21,,,Midfielder,Central Midfield,,,Central Midfield
HenryPaul19880128,"Henry, Paul",Paul Henry,Henry,Paul,1988-01-28,,,Midfielder,Defensive Midfield,,,Defensive Midfield
HenshawErnie19101128,"Henshaw, Ernie",Ernie Henshaw,Henshaw,Ernie,1910-11-28,,Center Forward,,,,,Center Forward
HepburnMurphyRushian19980828,"Hepburn-Murphy, Rushian",Rushian Hepburn-Murphy,Hepburn-Murphy,Rushian,1998-08-28,,,Forward,Centre-Forward,Second Striker,Right Winger,Centre-Forward
HeslopTom,"Heslop, Tom",Tom Heslop,Heslop,Tom,,Unknown,Left Half,,,,,Left Half
